workflow,task_id,outcome
inbox_watch,t-2001,success
inbox_watch,t-2002,success
inbox_watch,t-2003,success
inbox_watch,t-2004,success
inbox_watch,t-2005,success
daily_report,2026-04-22,success
daily_report,2026-04-23,success
daily_report,2026-04-24,success
daily_report,2026-04-25,success
daily_report,2026-04-26,success
followup_reminder,r-301,success
followup_reminder,r-302,success
followup_reminder,r-303,success
vendor_price_scrape,s-401,failure
vendor_price_scrape,s-402,failure
vendor_price_scrape,s-403,failure
vendor_price_scrape,s-404,failure
calendar_check,c-501,success
calendar_check,c-502,success
calendar_check,c-503,success
calendar_check,c-504,success
